Player,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Kacper Urbanski,MF,Bologna,15,2004,0.0,7,8,87.5,172,20,2,2,100.0,4,4,100.0,1,2,50.0,0,0.0,0.0,0,2,0,0,0
MatÃ­as Vecino,MF,Inter,28,1991,3.1,108,122,88.5,1822,635,56,61,91.8,41,47,87.2,9,10,90.0,1,0.3,+0.7,4,8,1,0,12
Miguel Veloso,MF,Hellas Verona,34,1986,14.6,649,830,78.2,12841,3371,238,282,84.4,310,363,85.4,90,159,56.6,2,0.9,+1.1,10,65,12,4,67
Jordan Veretout,MF,Roma,27,1993,22.8,1116,1316,84.8,23163,5988,381,425,89.6,527,578,91.2,199,286,69.6,2,2.4,-0.4,25,122,12,2,111
Valerio Verre,MF,Sampdoria,26,1994,11.1,383,535,71.6,7110,2144,174,213,81.7,132,177,74.6,60,99,60.6,3,1.8,+1.2,18,42,25,2,69
Arturo Vidal,MF,Inter,33,1987,12.6,638,746,85.5,12154,2881,266,301,88.4,262,301,87.0,94,116,81.0,1,1.3,-0.3,10,69,17,4,71
Ronaldo Vieira,MF,Hellas Verona,22,1998,2.5,97,122,79.5,1913,521,37,44,84.1,47,57,82.5,11,17,64.7,0,0.1,-0.1,2,10,1,0,9
Gonzalo Villar,MF,Roma,22,1998,20.7,1152,1286,89.6,21424,4960,469,515,91.1,537,578,92.9,132,162,81.5,1,1.1,-0.1,9,112,12,2,102
Nicolas Viola,MF,Benevento,30,1989,11.5,342,511,66.9,6760,2520,131,150,87.3,134,180,74.4,62,154,40.3,2,1.4,+0.6,17,32,10,1,47
Giacomo Vrioni,MF,Juventus,21,1998,0.0,2,2,100.0,14,4,1,1,100.0,0,0,,0,0,,0,0.1,-0.1,1,0,0,0,0
MiloÅ¡ VuliÄ‡,MF,Crotone,23,1996,14.5,453,569,79.6,8061,2001,197,224,87.9,197,238,82.8,46,82,56.1,1,1.3,-0.3,20,31,10,2,52
Walace,MF,Udinese,25,1995,22.8,1041,1178,88.4,20210,4269,397,432,91.9,453,492,92.1,168,207,81.2,0,0.6,-0.6,9,82,10,2,69
Miha Zajc,MF,Genoa,26,1994,20.7,849,1050,80.9,15082,2928,383,417,91.8,344,397,86.6,98,192,51.0,3,2.2,+0.8,19,57,16,2,58
Nicola Zalewski,MF,Roma,18,2002,0.1,5,7,71.4,121,56,0,1,0.0,1,2,50.0,3,3,100.0,1,0.1,+0.9,1,1,1,0,2
NiccolÃ² Zanellato,MF,Crotone,22,1998,18.2,608,754,80.6,12272,2722,205,252,81.3,312,357,87.4,85,122,69.7,1,1.3,-0.3,9,47,11,3,55
Piotr ZieliÅ„ski,MF,Napoli,26,1994,28.0,1037,1253,82.8,18227,4040,521,591,88.2,368,431,85.4,125,184,67.9,10,5.4,+4.6,58,119,23,2,97
