Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
M'Bala Nzola,ao ANG,FW,Spezia,23,1996,21.1,5,0,0,56,27,26,3,6,8,0,1,0,100,30,106,22.1,Matches
Stefano Okaka,it ITA,FW,Udinese,30,1989,16.5,2,0,0,38,35,13,5,5,8,0,0,0,54,30,59,33.7,Matches
Victor Osimhen,ng NGA,FW,Napoli,21,1998,17.5,4,0,0,34,36,20,20,9,12,1,0,0,54,37,64,36.6,Matches
Rodrigo Palacio,ar ARG,FW,Bologna,38,1982,27.8,5,0,0,37,72,35,56,7,12,1,0,0,121,45,72,38.5,Matches
Leonardo Pavoletti,it ITA,FW,Cagliari,31,1988,17.6,8,0,0,43,30,9,3,4,4,1,0,0,76,115,73,61.2,Matches
Graziano PellÃ¨,it ITA,FW,Parma,35,1985,6.8,1,0,0,19,13,4,1,2,2,1,0,0,21,41,29,58.6,Matches
Andrea Petagna,it ITA,FW,Napoli,25,1995,10.7,0,0,0,19,17,6,6,1,2,0,0,0,36,25,34,42.4,Matches
Roberto Piccoli,it ITA,FW,Spezia,19,2001,7.8,0,0,0,16,13,3,2,2,6,1,0,0,27,19,45,29.7,Matches
Andrea Pinamonti,it ITA,FW,Inter,21,1999,1.9,0,0,0,2,6,1,1,0,0,0,0,0,10,2,3,40.0,Matches
Matteo Politano,it ITA,FW,Napoli,26,1993,21.2,3,0,0,15,47,0,45,21,14,0,0,0,106,6,19,24.0,Matches
Ignacio Pussetto,ar ARG,FW,Udinese,24,1995,8.4,2,0,0,18,10,7,14,10,15,1,0,0,44,23,20,53.5,Matches
Fabio Quagliarella,it ITA,FW,Sampdoria,37,1983,24.5,1,0,0,27,36,18,22,6,8,1,0,0,99,31,68,31.3,Matches
Simone Rabbi,it ITA,FW,Bologna,18,2001,0.4,0,0,0,3,2,1,0,0,1,0,0,0,1,0,2,0.0,Matches
Antonio Raimondo,it ITA,FW,Bologna,16,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Ante RebiÄ‡,hr CRO,FW,Milan,26,1993,19.7,4,1,0,33,15,11,50,11,18,3,0,0,90,22,44,33.3,Matches
Franck RibÃ©ry,fr FRA,FW,Fiorentina,37,1983,23.9,6,1,0,37,73,7,25,8,20,1,0,0,144,5,29,14.7,Matches
Federico Ricci,it ITA,FW,Sassuolo,26,1994,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Cristiano Ronaldo,pt POR,FW,Juventus,35,1985,31.1,3,0,0,17,43,31,52,8,3,2,0,0,126,29,21,58.0,Matches
Alexis Saelemaekers,be BEL,FW,Milan,21,1999,22.4,7,1,1,30,34,6,41,28,31,1,0,0,151,7,25,21.9,Matches
Antonio Sanabria,py PAR,FW,Torino,24,1996,10.9,2,0,0,17,12,3,5,10,4,0,0,0,39,27,47,36.5,Matches
Alexis SÃ¡nchez,cl CHI,FW,Inter,31,1988,12.7,0,0,0,19,33,10,18,11,10,0,0,0,69,13,11,54.2,Matches
Federico Santander,py PAR,FW,Bologna,29,1991,0.4,0,0,0,2,2,0,1,0,0,0,0,0,5,2,2,50.0,Matches
Riccardo Saponara,it ITA,FW,Fiorentina,28,1991,0.6,0,0,0,1,1,0,0,0,1,0,0,0,3,1,1,50.0,Matches
Gianluca Scamacca,it ITA,FW,Genoa,21,1999,15.0,1,0,0,32,17,10,13,8,11,0,0,1,77,43,48,47.3,Matches
Eldor Shomurodov,uz UZB,FW,Genoa,25,1995,18.6,1,0,0,39,22,11,14,7,17,0,0,0,94,60,112,34.9,Matches
Luca Siligardi,it ITA,FW,Parma,32,1988,0.4,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,,Matches
Giovanni Simeone,ar ARG,FW,Cagliari,25,1995,19.3,1,0,0,25,26,18,9,15,15,0,0,0,73,24,81,22.9,Matches
Mattia Sprocati,it ITA,FW,Parma,27,1993,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Ernesto Torregrossa,it ITA,FW,Sampdoria,28,1992,1.9,0,0,0,7,1,3,0,1,1,0,0,0,11,5,9,35.7,Matches
Daniele Verde,it ITA,FW,Spezia,24,1996,10.9,1,0,0,2,12,2,30,8,3,0,0,0,53,0,0,,Matches
Edoardo Vergani,it ITA,FW,Bologna,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
DuÅ¡an VlahoviÄ‡,rs SRB,FW,Fiorentina,20,2000,32.5,1,0,0,53,69,26,15,12,5,2,0,0,115,113,154,42.3,Matches
DuvÃ¡n Zapata,co COL,FW,Atalanta,29,1991,26.4,0,0,0,29,49,21,45,10,6,1,0,0,97,40,78,33.9,Matches
Simone Zaza,it ITA,FW,Torino,29,1991,16.6,4,0,0,37,30,14,7,5,8,0,0,0,65,38,71,34.9,Matches
Musa Barrow,gm GAM,"FW,MF",Bologna,21,1998,32.5,0,0,0,19,32,12,68,14,8,0,0,0,146,28,77,26.7,Matches
Domenico Berardi,it ITA,"FW,MF",Sassuolo,25,1994,27.5,4,0,0,43,59,3,64,35,23,1,0,0,173,11,30,26.8,Matches
Jeremie Boga,ci CIV,"FW,MF",Sassuolo,23,1997,19.8,0,0,0,10,35,9,20,12,13,0,0,0,96,6,10,37.5,Matches
Juan Brunetta,ar ARG,"FW,MF",Parma,23,1997,5.3,3,0,0,11,16,1,10,1,1,0,0,0,30,2,10,16.7,Matches
JosÃ© CallejÃ³n,es ESP,"FW,MF",Fiorentina,33,1987,7.4,0,0,0,7,12,0,22,7,2,0,0,0,45,7,9,43.8,Matches
Ebrima Colley,gm GAM,"FW,MF",Hellas Verona,20,2000,8.2,1,0,0,13,17,7,10,2,5,0,0,0,59,4,32,11.1,Matches
Patrick Cutrone,it ITA,"FW,MF",Fiorentina,22,1998,2.2,0,0,0,8,3,0,2,0,2,0,0,0,11,4,9,30.8,Matches
GrÃ©goire Defrel,mq MTQ,"FW,MF",Sassuolo,29,1991,14.9,1,0,0,15,20,5,7,8,12,0,0,0,79,8,27,22.9,Matches
Jacopo Dezi,it ITA,"FW,MF",Parma,28,1992,0.9,0,0,0,1,3,0,3,1,1,0,0,0,5,0,2,0.0,Matches
Giuseppe Di Serio,it ITA,"FW,MF",Benevento,19,2001,3.2,1,0,0,13,17,2,2,1,2,0,0,0,17,11,12,47.8,Matches
Denis DrÄƒguÈ™,ro ROU,"FW,MF",Crotone,21,1999,2.0,1,0,0,4,4,2,3,1,3,0,0,0,14,1,3,25.0,Matches
Fernando Forestieri,it ITA,"FW,MF",Udinese,30,1990,6.1,1,0,0,12,21,5,9,1,9,0,0,0,45,6,14,30.0,Matches
Papu GÃ³mez,ar ARG,"FW,MF",Atalanta,32,1988,7.4,0,0,0,10,19,0,6,3,4,0,0,0,64,2,3,40.0,Matches
LukÃ¡Å¡ HaraslÃ­n,sk SVK,"FW,MF",Sassuolo,24,1996,3.7,1,1,0,7,18,1,9,2,5,1,1,0,19,4,2,66.7,Matches
Josip IliÄiÄ‡,si SVN,"FW,MF",Atalanta,32,1988,17.0,2,0,0,22,71,8,63,6,4,2,0,0,96,1,23,4.2,Matches
Hamed Junior TraorÃ¨,ci CIV,"FW,MF",Sassuolo,20,2000,19.9,6,0,0,26,19,4,26,18,24,1,0,0,128,14,22,38.9,Matches
Yann Karamoh,fr FRA,"FW,MF",Parma,22,1998,14.4,3,0,0,14,13,8,20,7,20,1,0,0,79,6,20,23.1,Matches
Justin Kluivert,nl NED,"FW,MF",Roma,21,1999,0.2,0,0,0,1,0,0,2,0,0,0,0,0,5,0,1,0.0,Matches
Aleksandr Kokorin,ru RUS,"FW,MF",Fiorentina,29,1991,1.0,1,0,0,1,0,0,0,1,0,0,0,0,6,0,1,0.0,Matches
Sam Lammers,nl NED,"FW,MF",Atalanta,23,1997,3.2,0,0,0,5,5,2,1,0,3,0,0,0,19,10,12,45.5,Matches
Fernando Llorente,es ESP,"FW,MF",Napoli,35,1985,0.6,0,0,0,3,1,0,1,0,0,0,0,0,3,3,3,50.0,Matches
Daniel Maldini,it ITA,"FW,MF",Milan,18,2001,0.3,0,0,0,4,1,0,1,0,0,0,0,0,5,0,0,,Matches
Ruslan Malinovskyi,ua UKR,"FW,MF",Atalanta,27,1993,20.8,3,0,0,45,55,1,31,3,17,0,0,0,153,29,28,50.9,Matches
Dennis Man,ro ROU,"FW,MF",Parma,21,1998,7.8,1,0,0,6,7,0,8,6,4,0,0,0,55,9,9,50.0,Matches
Dries Mertens,be BEL,"FW,MF",Napoli,33,1987,16.2,2,0,0,16,9,5,32,9,15,0,0,0,75,0,12,0.0,Matches
Valentin Mihaila,ro ROU,"FW,MF",Parma,20,2000,7.8,2,0,0,5,8,5,12,4,3,1,0,0,37,1,14,6.7,Matches
Vincenzo Millico,it ITA,"FW,MF",Torino,19,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Aleksei Miranchuk,ru RUS,"FW,MF",Atalanta,24,1995,7.5,0,0,0,16,20,2,9,6,10,0,0,0,74,14,12,53.8,Matches
Henrikh Mkhitaryan,am ARM,"FW,MF",Roma,31,1989,30.5,2,0,0,35,47,10,44,36,38,1,0,0,214,16,32,33.3,Matches
Riccardo Orsolini,it ITA,"FW,MF",Bologna,23,1997,19.5,0,0,0,21,44,7,36,11,10,0,1,0,112,23,27,46.0,Matches
Adam Ounas,dz ALG,"FW,MF",Crotone,23,1996,13.3,1,0,0,10,31,9,27,9,4,0,0,0,87,8,18,30.8,Matches
Goran Pandev,mk MKD,"FW,MF",Genoa,37,1983,15.6,5,0,0,13,36,7,10,5,5,0,0,0,92,17,39,30.4,Matches
Javier Pastore,ar ARG,"FW,MF",Roma,31,1989,0.9,0,0,0,1,1,0,0,1,1,0,0,0,10,2,1,66.7,Matches
Pedro,es ESP,"FW,MF",Roma,33,1987,17.7,5,1,1,25,33,7,29,11,21,2,0,0,81,2,15,11.8,Matches
JoÃ£o Pedro,br BRA,"FW,MF",Cagliari,28,1992,36.1,4,0,0,47,98,13,34,10,13,3,0,0,173,69,95,42.1,Matches
Carles PÃ©rez,es ESP,"FW,MF",Roma,22,1998,8.6,0,0,0,12,7,0,13,3,5,1,0,0,48,3,12,20.0,Matches
Jens Petter Hauge,no NOR,"FW,MF",Milan,20,1999,5.9,0,0,0,12,1,1,2,2,4,0,0,0,31,3,14,17.6,Matches
Marko Pjaca,hr CRO,"FW,MF",Genoa,25,1995,15.8,0,0,0,19,24,2,8,8,11,0,0,0,73,13,50,20.6,Matches
Manolo Portanova,it ITA,"FW,MF",Juventus,20,2000,0.8,1,0,0,2,3,0,0,0,2,0,0,0,3,1,0,100.0,Matches
Giacomo Raspadori,it ITA,"FW,MF",Sassuolo,20,2000,13.7,1,0,0,9,23,4,11,3,2,4,0,0,35,1,9,10.0,Matches
Emmanuel RiviÃ¨re,fr FRA,"FW,MF",Crotone,30,1990,7.1,2,0,0,10,17,2,1,4,3,0,0,0,21,11,28,28.2,Matches
Eddy Salcedo,it ITA,"FW,MF",Hellas Verona,18,2001,8.4,3,0,0,14,15,3,11,3,2,1,0,0,49,31,64,32.6,Matches
Nicola Sansone,it ITA,"FW,MF",Bologna,28,1991,13.0,2,0,0,24,41,3,22,9,14,0,0,0,79,6,25,19.4,Matches
Riccardo Saponara,it ITA,"FW,MF",Spezia,28,1991,4.3,2,1,1,4,14,2,5,3,2,0,0,0,27,7,6,53.8,Matches
Stephan El Shaarawy,it ITA,"FW,MF",Roma,27,1992,6.4,1,0,0,8,9,1,10,5,2,0,0,0,41,2,8,20.0,Matches
MattÃ©o Tramoni,fr FRA,"FW,MF",Cagliari,20,2000,0.8,1,0,0,1,1,0,0,1,2,0,0,0,10,0,2,0.0,Matches
Emanuel Vignato,it ITA,"FW,MF",Bologna,19,2000,13.4,4,0,0,13,12,2,36,12,11,0,0,0,113,3,18,14.3,Matches
Joshua Zirkzee,nl NED,"FW,MF",Parma,19,2001,1.3,0,0,0,4,0,0,0,0,2,0,0,0,11,1,12,7.7,Matches
Gennaro Acampora,it ITA,"MF,FW",Spezia,26,1994,4.9,2,0,0,10,12,1,7,4,7,0,0,0,49,0,9,0.0,Matches
AntonÃ­n BarÃ¡k,cz CZE,"MF,FW",Hellas Verona,25,1994,30.7,5,1,0,59,17,4,17,18,29,0,1,0,275,70,94,42.7,Matches
Daniel Bessa,it ITA,"MF,FW",Hellas Verona,27,1993,6.8,1,0,0,16,6,3,11,4,12,0,0,0,36,3,19,13.6,Matches
