Player,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Danilo Cataldi,Lazio,25,1994,6.3,470,18,119,255,123,7,427,8,10,80.0,8,0,295,1637,809,33,9,1,5,1,342,323,94.4,16
Luca Cigarini,Crotone,34,1986,10.3,850,34,216,526,146,5,783,7,9,77.8,7,0,518,1974,1077,25,7,1,7,10,641,614,95.8,10
FÃ©lix Correia,Juventus,19,2001,0.1,8,0,3,3,4,0,7,0,0,,0,0,6,31,18,0,0,0,0,0,7,5,71.4,0
Mamadou Coulibaly,Udinese,21,1999,2.0,114,1,15,66,37,4,114,1,1,100.0,1,0,69,277,70,4,0,0,6,6,92,66,71.7,16
Wylan Cyprien,Parma,25,1995,4.6,342,20,109,190,57,2,317,1,2,50.0,1,0,206,884,451,17,1,0,3,3,253,238,94.1,4
Bryan Dabo,Benevento,28,1992,12.4,714,31,149,423,199,23,698,14,24,58.3,14,1,437,2732,1463,61,26,5,20,10,577,489,84.7,36
Ebrima Darboe,Roma,19,2001,3.6,285,8,75,194,35,0,284,3,4,75.0,3,0,222,1049,534,19,2,0,2,1,221,215,97.3,1
Rodrigo De Paul,Udinese,26,1994,35.6,2580,27,433,1349,1099,64,2345,112,167,67.1,114,2,2006,13381,7915,335,145,14,68,78,2155,1905,88.4,154
Alessandro Deiola,Spezia,24,1995,4.0,198,8,39,114,54,6,187,1,2,50.0,1,0,124,599,193,9,3,1,2,4,160,134,83.8,11
Alessandro Deiola,Cagliari,24,1995,6.8,303,21,96,149,70,3,302,2,2,100.0,2,1,178,958,376,14,2,0,7,6,199,180,90.5,11
Lorenzo Del Pinto,Benevento,30,1990,0.1,9,0,7,3,0,0,8,0,0,,0,0,4,5,0,0,0,0,0,1,10,6,60.0,0
Diego Demme,Napoli,28,1991,17.7,1419,55,326,888,283,24,1396,4,7,57.1,4,0,1024,4591,2131,102,33,3,8,19,1155,1089,94.3,28
Fabio Depaoli,Sampdoria,23,1997,0.9,24,2,3,6,17,1,24,0,1,0.0,0,0,17,94,48,2,1,0,2,0,28,16,57.1,4
Amad Diallo,Atalanta,18,2002,0.2,12,0,0,11,2,0,12,2,2,100.0,2,0,14,100,50,5,1,0,0,0,21,12,57.1,2
Amadou Diawara,Roma,23,1997,7.3,533,24,152,340,73,3,524,3,5,60.0,3,0,373,1869,834,35,9,1,1,5,394,384,97.5,7
NicolÃ¡s DomÃ­nguez,Bologna,22,1998,13.9,878,48,229,502,200,29,851,9,10,90.0,9,1,495,2650,1193,43,10,2,17,17,637,539,84.6,42
Alfred Duncan,Cagliari,27,1993,11.9,717,30,164,463,148,6,697,13,19,68.4,13,1,486,2495,1350,47,16,3,13,17,528,491,93.0,24
Alfred Duncan,Fiorentina,27,1993,1.8,102,1,15,71,23,1,97,5,5,100.0,5,1,69,295,102,4,0,0,1,2,71,69,97.2,1
Steeve-Mike Ebongue,Genoa,19,2001,0.6,32,1,11,16,8,0,32,0,0,,0,0,27,124,59,1,1,0,3,0,19,17,89.5,0
Albin Ekdal,Sampdoria,31,1989,25.5,1325,70,357,819,226,24,1277,22,25,88.0,23,0,741,3831,1909,76,18,1,12,21,830,742,89.4,34
Manu Emmanuel Gyabuaa,Atalanta,18,2001,0.0,2,0,1,1,0,0,2,0,0,,0,0,1,5,5,0,0,0,0,0,1,1,100.0,0
Christian Eriksen,Inter,28,1992,15.4,1162,28,249,583,412,28,1047,10,13,76.9,10,2,762,3546,1854,91,34,2,22,20,915,848,92.7,40
Gonzalo Escalante,Lazio,27,1993,8.1,569,20,159,372,71,3,561,8,9,88.9,8,0,345,1829,900,40,14,0,2,5,374,351,93.9,12
Nahuel EstÃ©vez,Spezia,24,1995,19.6,1085,34,134,594,411,35,1024,10,16,62.5,12,0,712,3543,1712,83,37,4,23,19,834,743,89.1,67
NicolÃ² Fagioli,Juventus,19,2001,0.2,21,2,5,14,2,0,20,2,2,100.0,2,0,20,93,57,2,0,0,0,0,18,17,94.4,1
Andri Fannar Baldursson,Bologna,18,2002,2.4,111,10,38,58,24,3,111,1,2,50.0,1,0,68,324,125,8,3,0,5,4,70,66,94.3,5
Remo Freuler,Atalanta,28,1992,30.1,2436,51,456,1491,661,54,2354,38,50,76.0,40,1,1788,9688,4893,233,76,9,35,40,1848,1714,92.7,68
Roberto Gagliardini,Inter,26,1994,13.7,743,29,152,420,217,39,729,7,11,63.6,8,1,496,2698,1346,67,20,4,13,9,615,552,89.8,43
Tomislav Gomelt,Crotone,25,1995,0.2,21,2,7,12,2,0,20,0,0,,0,0,12,69,30,2,0,0,0,2,16,15,93.8,1
Eduardo Henrique,Crotone,25,1995,10.3,486,15,106,302,109,12,480,10,14,71.4,11,0,339,1775,886,33,8,1,13,14,415,349,84.1,23
Hernani,Parma,26,1994,24.3,1385,53,296,811,369,30,1292,39,53,73.6,41,1,818,4773,2391,93,30,5,35,37,1043,904,86.7,75
PÃ«rparim Hetemaj,Benevento,33,1986,24.6,1151,37,314,635,288,23,1131,13,22,59.1,14,3,759,4023,1681,72,28,0,27,24,836,717,85.8,59
Ivan IliÄ‡,Hellas Verona,19,2001,20.4,1325,38,238,892,281,19,1251,30,37,81.1,31,0,912,5008,2518,100,24,5,18,24,955,880,92.1,37
Artur IoniÈ›Äƒ,Benevento,29,1990,31.5,1033,55,251,601,251,38,1014,20,30,66.7,21,0,576,3290,1537,60,27,2,23,26,797,572,71.8,64
Mato Jajalo,Udinese,32,1988,0.4,36,2,12,21,3,0,34,0,0,,0,0,19,83,36,1,0,0,0,0,23,23,100.0,0
Jakub Jankto,Sampdoria,24,1996,26.8,1174,43,243,547,465,87,1128,11,27,40.7,11,2,783,4221,2273,98,37,18,30,36,1033,797,77.2,117
Franck KessiÃ©,Milan,23,1996,35.8,2440,122,645,1477,494,97,2382,48,61,78.7,50,1,1695,9351,4343,166,47,6,46,41,1906,1743,91.4,83
MÃ¡rk Kosznovszky,Parma,18,2002,1.0,46,1,9,21,18,1,46,0,0,,0,0,25,148,69,2,1,0,1,0,35,30,85.7,2
Jasmin KurtiÄ‡,Parma,31,1989,30.4,1705,83,378,1011,426,41,1628,16,28,57.1,19,1,1083,6381,3101,138,48,1,22,13,1312,1170,89.2,55
Lucas Leiva,Lazio,33,1987,23.7,1710,79,509,1080,210,11,1661,6,14,42.9,6,0,1017,4995,2600,89,27,0,7,15,1159,1106,95.4,22
Lukas Lerager,Genoa,27,1993,12.9,620,32,143,347,153,11,606,10,16,62.5,10,0,364,1370,585,25,10,1,13,8,447,368,82.3,28
Karol Linetty,Torino,25,1995,20.4,939,38,222,527,258,35,913,15,31,48.4,17,0,642,3154,1849,75,20,6,29,31,740,623,84.2,65
Stanislav Lobotka,Napoli,25,1994,1.7,135,1,27,102,15,1,134,2,3,66.7,2,0,99,562,214,7,3,0,0,0,122,114,93.4,2
Manuel Locatelli,Sassuolo,22,1998,32.0,3167,163,731,2034,577,60,3072,24,36,66.7,26,0,2214,9257,4824,189,51,9,28,43,2588,2464,95.2,64
