Player,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Graziano PellÃ¨,Parma,35,1985,6.8,1,14,5,35.7,2.05,0.73,0.07,0.20,12.2,0,0,0,1.3,1.3,0.09,-0.3,-0.3
Andrea Petagna,Napoli,25,1995,10.7,4,26,11,42.3,2.43,1.03,0.15,0.36,10.2,0,0,0,4.1,4.1,0.16,-0.1,-0.1
Roberto Piccoli,Spezia,19,2001,7.8,5,15,10,66.7,1.92,1.28,0.33,0.50,9.8,0,0,0,3.9,3.9,0.26,+1.1,+1.1
Andrea Pinamonti,Inter,21,1999,1.9,1,4,2,50.0,2.13,1.07,0.25,0.50,14.3,0,0,0,1.0,1.0,0.25,0.0,0.0
Matteo Politano,Napoli,26,1993,21.2,9,62,20,32.3,2.92,0.94,0.15,0.45,18.8,1,0,0,5.2,5.2,0.08,+3.8,+3.8
Ignacio Pussetto,Udinese,24,1995,8.4,3,17,7,41.2,2.03,0.84,0.18,0.43,13.8,0,0,0,2.2,2.2,0.13,+0.8,+0.8
Fabio Quagliarella,Sampdoria,37,1983,24.5,13,77,25,32.5,3.14,1.02,0.14,0.44,18.1,1,2,3,11.0,8.7,0.11,+2.0,+2.3
Simone Rabbi,Bologna,18,2001,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Antonio Raimondo,Bologna,16,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ante RebiÄ‡,Milan,26,1993,19.7,11,44,23,52.3,2.23,1.17,0.25,0.48,14.1,0,0,0,7.7,7.3,0.17,+3.3,+3.7
Franck RibÃ©ry,Fiorentina,37,1983,23.9,2,21,10,47.6,0.88,0.42,0.10,0.20,15.2,0,0,0,3.0,3.0,0.14,-1.0,-1.0
Federico Ricci,Sassuolo,26,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Cristiano Ronaldo,Juventus,35,1985,31.1,29,162,60,37.0,5.20,1.93,0.14,0.38,17.6,17,6,8,26.5,20.4,0.13,+2.5,+2.6
Alexis Saelemaekers,Milan,21,1999,22.4,2,28,7,25.0,1.25,0.31,0.07,0.29,17.7,0,0,0,2.9,2.9,0.10,-0.9,-0.9
Antonio Sanabria,Torino,24,1996,10.9,5,19,11,57.9,1.75,1.01,0.26,0.45,14.4,0,0,0,3.0,3.0,0.16,+2.0,+2.0
Alexis SÃ¡nchez,Inter,31,1988,12.7,7,28,15,53.6,2.20,1.18,0.25,0.47,15.6,4,0,1,5.6,4.8,0.17,+1.4,+2.2
