Player,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Miha Zajc,Genoa,26,1994,20.7,36,24,14,15,7,11,38,28.9,27,384,83,21.6,107,194,83,34,5,0,29,26,62,29,0
Walace,Udinese,25,1995,22.8,61,45,36,21,4,24,81,29.6,57,431,140,32.5,221,169,41,45,5,0,40,41,102,27,1
MiloÅ¡ VuliÄ‡,Crotone,23,1996,14.5,23,11,12,3,8,7,16,43.8,9,179,45,25.1,59,76,44,14,1,0,13,9,32,11,1
Giacomo Vrioni,Juventus,21,1998,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0
Nicolas Viola,Benevento,30,1989,11.5,16,10,1,11,4,3,22,13.6,19,172,42,24.4,57,90,25,12,3,0,9,16,32,8,0
Gonzalo Villar,Roma,22,1998,20.7,51,32,14,28,9,13,55,23.6,42,396,115,29.0,106,221,69,25,3,0,22,21,72,21,0
Ronaldo Vieira,Hellas Verona,22,1998,2.5,4,1,1,2,1,0,2,0.0,2,44,11,25.0,11,26,7,7,5,0,2,0,4,3,0
Arturo Vidal,Inter,33,1987,12.6,32,23,14,12,6,12,38,31.6,26,290,80,27.6,112,139,39,29,3,0,26,18,50,11,0
Valerio Verre,Sampdoria,26,1994,11.1,14,9,2,8,4,4,19,21.1,15,240,62,25.8,37,120,83,17,1,0,16,9,23,7,1
Jordan Veretout,Roma,27,1993,22.8,27,24,10,15,2,6,34,17.6,28,351,91,25.9,87,196,68,23,4,0,19,12,39,21,3
Miguel Veloso,Hellas Verona,34,1986,14.6,29,15,10,15,4,15,38,39.5,23,251,68,27.1,75,155,21,25,2,0,23,15,44,40,0
MatÃ­as Vecino,Inter,28,1991,3.1,3,1,0,1,2,2,6,33.3,4,51,10,19.6,20,20,11,8,1,0,7,4,7,2,0
Kacper Urbanski,Bologna,15,2004,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Ä½ubomÃ­r Tupta,Hellas Verona,22,1998,0.6,0,0,0,0,0,0,0,,0,5,2,40.0,0,3,2,0,0,0,0,0,0,0,0
Sandro Tonali,Milan,20,2000,14.8,27,14,13,13,1,11,27,40.7,16,303,68,22.4,108,154,41,29,6,0,23,20,47,24,0
Morten Thorsby,Sampdoria,24,1996,29.4,80,58,35,36,9,16,55,29.1,39,712,215,30.2,269,310,133,65,18,0,47,21,101,43,0
