"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches"
"Ben Foster","eng ENG","GK","Watford",35,1983,38,38,"3,42","38.0",59,"1.55",173,118,"68.2",14,8,16,7,"18.4",5,4,1,0,"20.0","Matches"
"Paulo Gazzaniga","ar ARG","GK","Tottenham",26,1992,3,3,270,"3.0",2,"0.67",13,11,"84.6",2,0,1,1,"33.3",0,0,0,0,,"Matches"
"David de Gea","es ESP","GK","Manchester Utd",27,1990,38,38,"3,42","38.0",54,"1.42",169,124,"71.6",19,9,10,7,"18.4",6,6,0,0,"0.0","Matches"
"Vicente Guaita","es ESP","GK","Crystal Palace",31,1987,20,20,"1,755","19.5",23,"1.18",82,60,"73.2",10,4,6,7,"35.0",1,1,0,0,"0.0","Matches"
"Angus Gunn","eng ENG","GK","Southampton",22,1996,12,12,"1,08","12.0",18,"1.50",48,30,"62.5",4,4,4,3,"25.0",1,0,1,0,"100.0","Matches"
"Ben Hamer","eng ENG","GK","Huddersfield",30,1987,7,7,553,"6.1",21,"3.42",37,20,"51.4",0,1,6,1,"14.3",3,3,0,0,"0.0","Matches"
"Joe Hart","eng ENG","GK","Burnley",31,1987,19,19,"1,71","19.0",41,"2.16",117,78,"65.8",3,3,13,4,"21.1",2,1,1,0,"50.0","Matches"
"Tom Heaton","eng ENG","GK","Burnley",32,1986,19,19,"1,71","19.0",27,"1.42",82,59,"68.3",8,4,7,4,"21.1",1,1,0,0,"0.0","Matches"
"Wayne Hennessey","wal WAL","GK","Crystal Palace",31,1987,18,17,"1,575","17.5",26,"1.49",65,42,"64.6",4,3,10,5,"29.4",4,3,1,0,"25.0","Matches"
"Bernd Leno","de GER","GK","Arsenal",26,1992,32,31,"2,835","31.5",42,"1.33",139,105,"74.8",16,7,8,7,"22.6",7,7,0,0,"0.0","Matches"
"Hugo Lloris","fr FRA","GK","Tottenham",31,1986,33,33,"2,97","33.0",33,"1.00",122,94,"75.4",21,2,10,12,"36.4",5,3,2,0,"40.0","Matches"
"Jonas LÃ¶ssl","dk DEN","GK","Huddersfield",29,1989,31,30,"2,777","30.9",54,"1.75",137,87,"63.5",3,5,22,5,"16.7",5,4,1,0,"20.0","Matches"
"Alex McCarthy","eng ENG","GK","Southampton",28,1989,25,25,"2,25","25.0",44,"1.76",116,77,"63.8",5,8,12,4,"16.0",2,2,0,0,"0.0","Matches"
"Will Norris","eng ENG","GK","Wolves",24,1993,1,0,,"0.0",0,,0,0,,0,0,0,1,,0,0,0,0,,"Matches"
"Rui PatrÃ­cio","pt POR","GK","Wolves",30,1988,37,37,"3,33","37.0",46,"1.24",138,98,"68.8",15,9,13,8,"21.6",4,3,0,1,"0.0","Matches"
"Jordan Pickford","eng ENG","GK","Everton",24,1994,38,38,"3,42","38.0",46,"1.21",128,86,"65.6",15,9,14,14,"36.8",5,2,3,0,"60.0","Matches"
"Sergio Rico","es ESP","GK","Fulham",24,1993,29,29,"2,61","29.0",56,"1.93",161,110,"67.7",6,3,20,5,"17.2",4,4,0,0,"0.0","Matches"
"John Ruddy","eng ENG","GK","Wolves",31,1986,1,1,90,"1.0",0,"0.00",3,3,"100.0",1,0,0,1,"100.0",0,0,0,0,,"Matches"
"Mathew Ryan","au AUS","GK","Brighton",26,1992,34,34,"3,06","34.0",55,"1.62",140,93,"66.4",8,8,18,6,"17.6",8,8,0,0,"0.0","Matches"
"Kasper Schmeichel","dk DEN","GK","Leicester City",31,1986,38,38,"3,42","38.0",48,"1.26",139,96,"69.1",15,7,16,10,"26.3",5,5,0,0,"0.0","Matches"
"JuliÃ¡n Speroni","ar ARG","GK","Crystal Palace",39,1979,1,1,90,"1.0",4,"4.00",9,5,"55.6",0,0,1,0,"0.0",0,0,0,0,,"Matches"
"Mark Travers","ie IRL","GK","Bournemouth",19,1999,2,2,180,"2.0",5,"2.50",13,9,"61.5",1,0,1,1,"50.0",0,0,0,0,,"Matches"
"Michel Vorm","nl NED","GK","Tottenham",34,1983,2,2,180,"2.0",4,"2.00",13,9,"69.2",0,0,2,0,"0.0",0,0,0,0,,"Matches"
