Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%_GK,AvgLen_GK,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Bernd Leno,de GER,GK,Arsenal,28,1992,34.8,37,1,0,5,4,37.1,0.31,+4.1,+0.12,110,338,32.5,930,166,22.0,28.6,226,58.8,46.6,310,26,8.4,22,0.63,14.5
Hugo Lloris,fr FRA,GK,Tottenham,33,1986,38.0,45,10,0,3,3,47.0,0.28,+5.0,+0.13,202,489,41.3,799,158,46.3,37.3,268,44.4,36.7,366,18,4.9,16,0.42,13.4
Emiliano MartÃ­nez,ar ARG,GK,Aston Villa,27,1992,38.0,46,5,2,4,1,52.4,0.27,+7.4,+0.20,289,728,39.7,1041,162,52.7,42.5,254,70.5,52.9,393,33,8.4,21,0.55,13.1
Alex McCarthy,eng ENG,GK,Southampton,30,1989,30.0,57,6,1,4,1,47.9,0.31,-8.1,-0.27,155,525,29.5,898,124,45.8,36.8,171,66.7,47.6,239,22,9.2,20,0.67,15.1
Edouard Mendy,sn SEN,GK,Chelsea,28,1992,30.5,25,2,1,4,1,24.1,0.27,+0.1,0.00,126,265,47.5,826,125,24.5,28.7,181,34.8,32.3,207,13,6.3,20,0.66,15.3
Illan Meslier,fr FRA,GK,Leeds United,20,2000,35.0,52,8,1,11,2,55.3,0.27,+5.3,+0.15,181,409,44.3,1082,269,28.4,30.6,266,38.3,34.0,198,21,10.6,20,0.57,13.6
Will Norris,eng ENG,GK,Burnley,26,1993,2.0,4,0,0,2,0,1.1,0.19,-2.9,-1.44,21,50,42.0,37,1,89.2,62.6,19,89.5,67.7,18,1,5.6,1,0.50,15.1
Robin Olsen,se SWE,GK,Everton,30,1990,7.0,9,1,0,0,0,9.5,0.33,+0.5,+0.08,50,104,48.1,148,21,49.3,41.1,51,60.8,46.3,51,4,7.8,1,0.14,11.0
Rui PatrÃ­cio,pt POR,GK,Wolves,32,1988,37.0,51,7,1,9,3,44.6,0.28,-3.4,-0.09,205,454,45.2,536,129,53.0,40.6,265,64.2,44.9,374,22,5.9,6,0.16,11.5
Bailey Peacock-Farrell,nir NIR,GK,Burnley,23,1996,4.0,14,0,0,2,0,9.5,0.38,-4.5,-1.14,41,94,43.6,84,5,81.0,57.6,29,89.7,68.0,36,0,0.0,3,0.75,15.4
Jordan Pickford,eng ENG,GK,Everton,26,1994,30.5,39,2,1,5,1,38.9,0.30,+0.9,+0.03,275,650,42.3,945,135,53.3,43.4,207,70.5,56.5,295,24,8.1,19,0.62,14.7
