Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Alex McCarthy,eng ENG,GK,Southampton,27,1989,18,18,"1,62",18.0,26,1.44,64,39,60.9,3,8,7,4,22.2,1,1,0,0,0.0,Matches
Simon Mignolet,be BEL,GK,Liverpool,29,1988,19,19,"1,71",19.0,24,1.26,57,35,61.4,10,7,2,7,36.8,3,2,1,0,33.3,Matches
Boaz Myhill,wal WAL,GK,West Brom,34,1982,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,Matches
David Ospina,co COL,GK,Arsenal,28,1988,5,4,381,4.2,3,0.71,14,11,78.6,3,0,1,2,50.0,0,0,0,0,,Matches
Jordan Pickford,eng ENG,GK,Everton,23,1994,38,38,"3,42",38.0,58,1.53,176,121,68.8,13,10,15,10,26.3,5,3,1,1,25.0,Matches
Nick Pope,eng ENG,GK,Burnley,25,1992,35,34,"3,115",34.6,35,1.01,149,117,78.5,13,11,11,11,32.4,5,3,1,1,25.0,Matches
Sergio Romero,ar ARG,GK,Manchester Utd,30,1987,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
Mathew Ryan,au AUS,GK,Brighton,25,1992,38,38,"3,42",38.0,54,1.42,170,120,68.8,9,13,16,10,26.3,3,1,2,0,66.7,Matches
Kasper Schmeichel,dk DEN,GK,Leicester City,30,1986,33,33,"2,965",32.9,47,1.43,135,90,65.9,11,10,12,8,24.2,3,1,2,0,66.7,Matches
JuliÃ¡n Speroni,ar ARG,GK,Crystal Palace,38,1979,11,11,990,11.0,14,1.27,40,27,67.5,3,5,3,2,18.2,1,1,0,0,0.0,Matches
Michel Vorm,nl NED,GK,Tottenham,33,1983,1,1,90,1.0,1,1.00,4,4,75.0,0,1,0,0,0.0,0,0,0,0,,Matches
